"filename", "language", "GLSL", "C++", "CMake", "C", "Markdown", "PostCSS", "HTML", "SCSS", "XML", "Objective-C", "JavaScript", "comment", "blank", "total"
"/home/Tino/Documents/Coding Projects/Velocity-Engine/src/rendering/mesh.cpp", "C++", 0, 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 77
"/home/Tino/Documents/Coding Projects/Velocity-Engine/src/rendering/renderer.cpp", "C++", 0, 149, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47, 196
"/home/Tino/Documents/Coding Projects/Velocity-Engine/src/rendering/scene.cpp", "C++", 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 40
"/home/Tino/Documents/Coding Projects/Velocity-Engine/src/rendering/shader.cpp", "C++", 0, 77, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 18, 96
"/home/Tino/Documents/Coding Projects/Velocity-Engine/src/rendering/texture.cpp", "C++", 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 46
"/home/Tino/Documents/Coding Projects/Velocity-Engine/src/ui/engineUi.cpp", "C++", 0, 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 77
"/home/Tino/Documents/Coding Projects/Velocity-Engine/src/ui/uiButton.cpp", "C++", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 22
"/home/Tino/Documents/Coding Projects/Velocity-Engine/src/ui/uiElement.cpp", "C++", 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 49
"/home/Tino/Documents/Coding Projects/Velocity-Engine/src/ui/uiManager.cpp", "C++", 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 57
"/home/Tino/Documents/Coding Projects/Velocity-Engine/src/ui/uiText.cpp", "C++", 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 37
"/home/Tino/Documents/Coding Projects/Velocity-Engine/thirdParty/glad/CMakeLists.txt", "CMake", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"/home/Tino/Documents/Coding Projects/Velocity-Engine/thirdParty/glad/include/KHR/khrplatform.h", "C++", 0, 117, 0, 0, 0, 0, 0, 0, 0, 0, 0, 165, 30, 312
"/home/Tino/Documents/Coding Projects/Velocity-Engine/thirdParty/glad/include/glad/glad.h", "C++", 0, 3658, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 17, 3695
"/home/Tino/Documents/Coding Projects/Velocity-Engine/thirdParty/glad/src/glad.c", "C", 0, 0, 0, 1762, 0, 0, 0, 0, 0, 0, 0, 25, 47, 1834
"/home/Tino/Documents/Coding Projects/Velocity-Engine/thirdParty/glfw-3.4/CMake/GenerateMappings.cmake", "CMake", 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 49
